source,target
ELANE,CXCL12
DPP4,CXCL12
JAK2,IL3
PIK3CD,IL3
PDPK1,IL3
BCR,IL3
STAT5B,IL3
AKT1,IL3
SMPD1,IL2
MAPK9,IL2
BTK,IL2
ITK,IL2
B2M,IL2
LCK,IL2
PRKCE,IL2
JAK3,IL2
UGCG,IL2
PRKCZ,IL2
PTGES3,IL2
PRKCB,IL2
PDPK1,IL2
JAK1,IL2
MTOR,IL2
MAP2K2,IL2
STAT5B,IL2
RAC1,IL2
MAPK14,IL2
MAPK8,IL2
MAPK1,IL2
MAPK3,IL2
AKT1,IL2
MAP2K1,IL2
MAPK11,IL2
TERT,IL2
SMPD1,JAK3
TYK2,JAK3
MAPK9,JAK3
JAK2,JAK3
BTK,JAK3
KIT,JAK3
ITK,JAK3
PDGFRA,JAK3
PDGFRB,JAK3
LCK,JAK3
PRKCE,JAK3
IL2,JAK3
CXCR1,JAK3
UGCG,JAK3
ALK,JAK3
PRKCZ,JAK3
PKM,JAK3
PRKCB,JAK3
PDPK1,JAK3
JAK1,JAK3
MTOR,JAK3
MAP2K2,JAK3
STAT5B,JAK3
RAC1,JAK3
MAPK14,JAK3
MAPK8,JAK3
AKT1,JAK3
MAP2K1,JAK3
MAPK11,JAK3
APOA1,JAK3
NFATC1,JAK3
JAK3,CXCR1
TUBA1A,CXCR1
ADRBK1,CXCR1
ADRA1A,CXCR1
SRC,FLT4
KDR,FLT4
HSP90AA1,FLT4
PKM,FLT4
LCK,UGCG
IL2,UGCG
JAK3,UGCG
JAK1,UGCG
FYN,NTRK2
HSP90AA1,NTRK2
PKM,NTRK2
RAC1,NTRK2
NR3C1,NTRK2
ADORA2A,NTRK2
ABL2,ALK
LIMK1,ALK
EPHB4,ALK
TYK2,ALK
JAK2,ALK
ITK,ALK
JAK3,ALK
ATIC,ALK
HSP90AA1,ALK
PKM,ALK
JAK1,ALK
EPHA2,ALK
MAPK1,ALK
ABL1,ALK
TNFRSF8,ALK
JAK2,SH2B3
KIT,SH2B3
LCK,SH2B3
ERBB2,SH2B3
MET,SH2B3
EGFR,SH2B3
MMAA,MMAB
GLDC,MMAB
FARS2,MMAB
NDUFS8,MMAB
AASS,MMAB
NDUFS2,MMAB
SUCLA2,MMAB
SHMT2,MMAB
DLD,MMAB
MCCC2,MMAB
NDUFS1,MMAB
NDUFS3,MMAB
SDHA,MMAB
KARS,MMAB
TOP1,MMAB
HSD17B10,MMAB
NDUFA9,MMAB
ALDH1B1,MMAB
SLC25A1,MMAB
ALDH2,MMAB
AFG3L2,MMAB
PCCB,MMAB
CPT2,MMAB
SLC25A18,MMAB
SLC25A10,MMAB
MMAB,GLDC
FARS2,GLDC
NDUFS8,GLDC
AASS,GLDC
NDUFS2,GLDC
SUCLA2,GLDC
SHMT2,GLDC
ALDH9A1,GLDC
DLD,GLDC
MCCC2,GLDC
NDUFS1,GLDC
NDUFS3,GLDC
SDHA,GLDC
KARS,GLDC
TOP1,GLDC
HSD17B10,GLDC
NDUFA9,GLDC
ALDH1B1,GLDC
SLC25A1,GLDC
ALDH2,GLDC
AFG3L2,GLDC
PCCB,GLDC
CPT2,GLDC
SLC25A18,GLDC
PRKAB1,GLDC
MAPK3,GLDC
SLC25A10,GLDC
MMAB,FARS2
GLDC,FARS2
NDUFS8,FARS2
AASS,FARS2
NDUFS2,FARS2
SUCLA2,FARS2
