,Drug IDs,NCBI_ID
1318,773,4128
1319,958,4128
1320,1030,4128
1321,1229,4128
1322,361,1131
1323,441,1131
1324,445,1131
1325,526,1131
1326,544,1131
1327,773,1131
1328,958,1131
1329,1030,1131
1330,1229,1131
1331,1229,6256
1332,1229,54578
1333,5482,54578
1334,361,152
1335,441,152
1336,445,152
1337,526,152
1338,544,152
1339,773,152
1340,958,152
1341,1030,152
1342,1229,152
1343,361,151
1344,441,151
1345,445,151
1346,526,151
1347,544,151
1348,773,151
1349,958,151
1350,1030,151
1351,1229,151
1352,317,2321
1353,361,2321
1354,441,2321
1355,445,2321
1356,526,2321
1357,544,2321
1358,773,2321
1359,958,2321
1360,1030,2321
1361,1229,2321
1362,1254,2321
1363,1259,2321
1364,5220,2321
1365,5294,2321
1366,8865,2321
1367,8916,2321
1368,9073,2321
1369,11663,2321
1370,11689,2321
1371,11740,2321
1372,11805,2321
1373,12848,2321
1374,317,5578
1375,361,5578
1376,441,5578
1377,445,5578
1378,526,5578
1379,544,5578
1380,773,5578
1381,958,5578
1382,1030,5578
1383,1229,5578
1384,1254,5578
1385,1259,5578
1386,5220,5578
1387,5294,5578
1388,9073,5578
1389,12218,5578
1390,1229,7364
1391,361,4318
1392,441,4318
1393,445,4318
1394,526,4318
1395,544,4318
1396,773,4318
1397,958,4318
1398,1030,4318
1399,1229,4318
1400,361,1813
1401,441,1813
1402,445,1813
1403,526,1813
1404,544,1813
1405,773,1813
1406,958,1813
1407,1030,1813
1408,1229,1813
1409,361,155
1410,441,155
1411,445,155
1412,526,155
1413,544,155
1414,773,155
1415,958,155
1416,1030,155
1417,1229,155
1418,361,1548
1419,441,1548
1420,445,1548
1421,526,1548
1422,773,1548
1423,958,1548
1424,1030,1548
1425,1229,1548
1426,361,1128
1427,445,1128
1428,526,1128
1429,773,1128
1430,958,1128
1431,1030,1128
1432,1229,1128
1433,317,367
1434,526,367
1435,1229,367
1436,1254,367
1437,5294,367
1438,11689,367
1439,361,140
1440,441,140
1441,445,140
1442,526,140
1443,544,140
1444,773,140
1445,958,140
1446,1030,140
1447,1229,140
1448,361,150
1449,441,150
1450,445,150
1451,544,150
1452,773,150
1453,1030,150
1454,1229,150
1455,361,1133
1456,441,1133
1457,445,1133
1458,526,1133
1459,544,1133
1460,773,1133
1461,958,1133
1462,1030,1133
1463,1229,1133
1464,361,153
1465,441,153
1466,445,153
1467,526,153
1468,544,153
1469,773,153
1470,958,153
1471,1030,153
1472,1229,153
1473,361,5788
1474,441,5788
1475,445,5788
1476,526,5788
1477,544,5788
1478,773,5788
1479,958,5788
1480,1030,5788
1481,1229,5788
1482,361,1511
1483,441,1511
1484,445,1511
1485,526,1511
1486,544,1511
1487,773,1511
1488,958,1511
1489,1030,1511
1490,1229,1511
1491,361,1991
1492,441,1991
1493,445,1991
1494,544,1991
1495,1030,1991
1496,361,1132
1497,441,1132
1498,445,1132
1499,544,1132
1500,773,1132
1501,1030,1132
1502,1229,1132
1503,361,1129
1504,441,1129
1505,445,1129
1506,526,1129
1507,544,1129
1508,773,1129
1509,958,1129
1510,1030,1129
1511,1229,1129
1512,12848,1129
1513,361,154
1514,441,154
1515,445,154
1516,526,154
1517,544,154
1518,773,154
1519,958,154
1520,1030,154
1521,1229,154
1522,317,2534
1523,361,2534
1524,441,2534
1525,445,2534
1526,526,2534
1527,544,2534
1528,773,2534
1529,958,2534
1530,1030,2534
1531,1229,2534
1532,1259,2534
1533,5220,2534
1534,5294,2534
1535,8865,2534
1536,8916,2534
1537,9073,2534
1538,11663,2534
1539,11689,2534
1540,11740,2534
1541,11805,2534
1542,12242,2534
1543,12848,2534
1544,317,3932
1545,361,3932
1546,441,3932
1547,445,3932
1548,526,3932
1549,544,3932
1550,773,3932
1551,958,3932
1552,1030,3932
1553,1229,3932
1554,1259,3932
1555,5220,3932
1556,5294,3932
1557,8865,3932
1558,8916,3932
1559,9073,3932
1560,11663,3932
1561,11689,3932
1562,11740,3932
1563,11805,3932
1564,12242,3932
1565,12848,3932
1566,361,1571
1567,441,1571
1568,445,1571
1569,526,1571
1570,544,1571
1571,958,1571
1572,1030,1571
1573,1229,1571
1574,317,2064
1575,361,2064
1576,441,2064
1577,445,2064
1578,526,2064
1579,544,2064
1580,773,2064
1581,958,2064
1582,1030,2064
1583,1229,2064
1584,1254,2064
1585,5220,2064
1586,5294,2064
1587,8865,2064
1588,11663,2064
1589,11689,2064
1590,12183,2064
1591,361,2908
1592,441,2908
1593,445,2908
1594,526,2908
1595,544,2908
1596,773,2908
1597,958,2908
1598,1030,2908
1599,1229,2908
1600,361,3156
1601,441,3156
1602,445,3156
1603,526,3156
1604,544,3156
1605,773,3156
1606,958,3156
1607,1030,3156
1608,1229,3156
1609,361,4312
1610,441,4312
1611,445,4312
1612,526,4312
1613,544,4312
1614,773,4312
1615,958,4312
1616,1030,4312
1617,1229,4312
1618,361,2099
1619,441,2099
1620,445,2099
1621,544,2099
1622,773,2099
1623,958,2099
1624,1030,2099
1625,1229,2099
1626,361,760
1627,441,760
1628,445,760
1629,526,760
1630,544,760
1631,773,760
1632,958,760
1633,1030,760
1634,1229,760
1635,361,1956
1636,441,1956
1637,445,1956
1638,526,1956
1639,544,1956
1640,773,1956
1641,958,1956
1642,1030,1956
1643,1229,1956
1644,1254,1956
1645,5220,1956
1646,8865,1956
1647,11663,1956
1648,11689,1956
1649,11805,1956
1650,12183,1956
1651,773,11309
1652,1030,11309
1653,1229,11309
1654,5482,11309
1655,958,7398
1656,1229,7398
1657,361,8654
1658,441,8654
1659,445,8654
1660,526,8654
1661,544,8654
1662,773,8654
1663,958,8654
1664,1030,8654
1665,1229,8654
1666,317,51053
1667,544,51053
1668,773,51053
1669,1229,51053
1670,1254,51053
1671,5294,51053
1672,526,6580
1673,544,6580
1674,1229,4864
1675,544,10919
1676,5294,10919
1677,361,2648
1678,958,2648
1679,544,2237
1680,1229,7068
1681,1030,6582
1682,544,328
1683,958,328
1684,544,10951
1685,773,10951
1686,1229,10951
1687,1259,4790
1688,544,7253
1689,1254,1636
1690,317,2932
1691,1254,2932
1692,1259,2932
1693,5220,2932
1694,5294,2932
1695,8865,2932
1696,8916,2932
1697,9073,2932
1698,11663,2932
1699,11689,2932
1700,11740,2932
1701,11805,2932
